Month,Australia,New Zealand,Melanesia nfd,New Caledonia,PNG,Solomon Islands,Vanuatu,Micronesia nfd,Guam,Kiribati,Marshall Is,"Micronesia, F S",Nauru,Palau,Polynesia nfd,Cook Islands,Fiji,French Poly,Niue,Samoa,Samoa American,Tokelau,Tonga,Tuvalu,Wallis/Futuna,Pitcairn Is,"Polynesia, nec",Antarctica nfd,Adelie Land,Argentinian A T,Australian A T,British A T,Chilean A T,Queen Maud Land,Ross Dependency,NW Europe nfd,"UK, CIs & IOM",Ireland,Western Europe nfd,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,Northern Europe nfd,Denmark,Faroe Islands,Finland,Greenland,Iceland,Norway,Sweden,Aland Islands,Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,SE Europe nfd,Albania,Bosnia/Herzegov,Bulgaria,Croatia,Cyprus,North Macedonia,Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,Kosovo,Eastern Europe nfd,Belarus,Czechia,Estonia,Hungary,Latvia,Lithuania,Poland,Russia,Slovakia,Ukraine,North Africa nfd,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Sp North Africa,South Sudan,Middle East nfd,Bahrain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,Unit Arab Emir,Yemen,Mainld SE Asia nfd,Myanmar,Cambodia,Laos,Thailand,Vietnam,Brunei,Indonesia,Malaysia,Philippines,Singapore,Timor-Leste,North-East Asia nfd,Chinese Asia nfd,China,Hong Kong,Macau,Mongolia,Taiwan,Japan & Koreas nfd,Japan,"Korea, North","Korea, South",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Americas nfd,Bermuda,Canada,USA,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Is,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Anguilla,Antigua/Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Rep,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,St Kitts/Nevis,St Lucia,St Vinc/Grenad,Trinidad/Tobago,Turks/Caicos Is,"Virgin Is, Brit","Virgin Is, US",St Barthelemy,St Martin (Fr),Bonaire/SE/Saba,Curacao,Sint Maarten Dp,Sub-Saha Africa nfd,Benin,Burkina Faso,Cameroon,Cabo Verde,Cent Africa Rep,Chad,"Congo, Rep","Congo, Dem Rep",Cote d'Ivoire,Equator Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tome/Princ,Senegal,Sierra Leone,Togo,Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,Reunion,Rwanda,St Helena,Seychelles,Somalia,South Africa,Eswatini,Tanzania,Uganda,Zambia,Zimbabwe
Jan-19,1152060,178510,0,0,3830,690,630,0,0,170,0,10,290,0,0,0,4390,0,0,450,0,0,1230,30,0,0,0,0,0,0,0,0,0,0,0,0,106700,15180,0,2480,2450,25380,24630,30,110,0,9210,5660,0,4280,0,2250,0,110,2600,5830,0,10,0,0,10990,320,1680,0,5390,0,70,190,340,460,190,300,990,30,770,360,50,500,20,0,150,1890,750,1190,230,420,3510,3010,960,720,0,50,1240,40,140,160,40,0,0,20,0,40,2400,510,1430,450,170,1140,280,40,2240,390,1170,230,60,0,1160,1920,250,7520,12830,280,18800,28300,21490,16200,310,0,0,188340,14980,430,840,16300,0,34490,0,39020,2820,590,62760,130,4940,6660,7370,960,50,50,30,250,30,0,10,90,0,0,22720,73100,2580,40,8310,2960,4270,190,0,0,10,50,600,0,220,300,0,90,60,70,20,1760,20,40,0,0,0,10,20,0,50,0,20,10,0,0,70,0,0,0,10,10,0,70,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,220,20,0,0,0,140,0,0,10,0,0,10,740,0,10,30,10,10,120,30,0,0,80,120,1260,10,20,50,1140,0,50,30,0,10,0,50,40,7530,0,120,120,170,930
Feb-19,627250,130700,0,0,2760,440,700,0,0,140,10,10,260,20,0,0,3920,0,0,560,0,0,1310,40,0,0,0,0,0,0,0,0,0,0,0,0,102910,8840,0,2590,2380,22430,29770,20,120,0,8510,4890,0,4210,0,2080,0,170,2920,5730,0,10,0,0,8890,200,1650,0,4350,0,60,160,390,490,210,260,960,40,700,440,30,400,20,0,90,1870,580,1150,200,450,3400,2320,730,710,0,30,870,20,140,160,30,0,0,20,0,50,2060,640,1300,340,360,1050,530,30,3890,320,980,270,50,0,1650,2130,270,7870,21640,520,22030,45480,16720,25020,280,0,0,252010,30330,870,720,23040,0,46530,0,37020,4180,850,75000,170,8380,6980,7930,1310,30,20,20,160,30,0,0,90,0,0,26440,84270,2290,50,6610,3790,2900,210,0,0,10,70,610,10,220,200,10,90,50,40,20,1340,10,60,0,10,0,10,20,0,20,10,20,10,0,0,60,0,0,0,10,20,0,60,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,360,10,0,0,10,180,0,0,40,0,0,0,560,0,0,30,0,0,70,40,0,0,100,260,930,10,20,30,1100,0,40,40,0,20,0,30,20,5190,0,110,90,120,540
Mar-19,652850,150250,0,0,2900,440,710,0,0,100,10,10,460,10,0,0,4060,0,0,660,0,0,1170,40,0,0,0,0,0,0,0,0,0,0,0,0,91770,9340,0,2170,2050,19680,24610,20,130,20,8340,4350,0,3140,0,1610,0,140,1960,4020,0,10,0,0,8410,180,1430,0,4070,0,70,90,260,390,120,190,750,10,610,280,30,270,10,0,100,1320,540,800,180,480,2710,2180,600,620,0,30,640,10,80,90,40,0,0,30,0,50,2600,1040,1140,290,170,740,280,50,1600,440,820,290,30,0,1280,1320,230,9070,13380,510,19530,39290,17160,27570,360,0,0,151220,17760,430,660,17040,0,54520,0,31460,3350,410,63860,90,8130,5460,6330,1070,10,30,20,180,30,20,0,50,0,0,24630,90430,2730,40,7350,3390,2420,170,0,0,10,40,540,0,570,200,10,90,60,40,20,1130,10,40,0,0,0,20,10,0,10,20,30,10,0,0,40,0,0,0,10,10,10,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,140,10,0,0,0,130,0,0,10,0,0,0,360,0,10,10,0,10,40,20,0,0,50,180,650,10,10,30,730,0,20,30,0,20,0,50,40,6670,0,80,70,90,460
Apr-19,795470,159280,0,0,3430,450,640,0,0,100,10,10,350,0,0,0,4140,0,0,570,0,0,1350,40,0,0,0,0,0,0,0,0,0,0,0,0,81970,9480,0,1420,2030,16360,16990,10,80,10,6790,3410,0,2370,0,1120,0,160,1910,2920,0,10,0,0,6660,160,1480,0,3840,0,70,60,200,310,120,150,640,20,440,160,20,210,10,0,90,980,370,570,140,270,1670,1740,450,430,0,20,670,10,80,110,30,0,0,20,0,30,2390,800,1220,270,120,780,90,20,1100,350,690,190,30,0,1460,2300,200,14390,11230,330,17430,35600,22320,21930,370,0,0,128290,22820,490,500,14360,0,35350,0,22450,2340,310,51990,80,5030,4700,7130,1040,20,30,20,100,10,10,0,60,0,0,17390,62590,1670,40,6230,2640,2360,150,0,0,10,20,470,0,220,180,0,120,50,50,40,1520,10,30,0,0,0,10,20,0,30,10,70,0,0,0,40,0,0,0,10,10,0,80,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,230,10,0,0,0,130,0,0,10,0,0,0,380,0,0,10,0,10,60,10,0,0,70,110,620,0,10,30,700,0,10,40,0,20,0,20,20,7060,10,70,110,90,590
May-19,749420,152700,0,0,3070,610,1060,0,0,260,10,30,330,10,0,0,3890,0,0,670,0,0,1710,30,0,0,0,0,0,0,0,0,0,0,0,0,52790,6710,0,1070,1470,14480,12370,10,40,0,5200,2070,0,1450,0,810,0,90,1010,1740,0,0,0,0,6120,140,1010,0,3090,0,30,70,150,220,90,170,550,10,390,150,10,210,20,0,80,680,280,450,80,230,1390,1450,330,470,0,30,650,10,60,90,30,0,0,10,0,10,2010,1660,850,220,60,770,60,20,790,470,620,80,20,0,1140,1500,200,10420,11380,420,26700,51690,23040,32330,410,0,0,123430,17180,440,530,15920,0,31020,0,24380,2350,280,62230,50,6750,3900,5110,1300,30,30,20,100,20,0,0,50,0,0,12460,57150,1410,30,5440,2370,2440,110,0,0,10,20,440,0,250,220,0,100,30,30,20,980,10,20,0,10,0,10,10,0,20,0,20,0,0,0,40,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,10,150,10,0,0,0,120,10,0,10,10,0,0,380,0,10,20,0,0,70,20,0,0,60,150,540,0,20,20,670,0,20,40,0,10,0,40,30,5110,10,60,60,100,470
Jun-19,739170,144990,0,0,3300,560,810,0,0,170,10,20,330,10,0,0,3660,0,0,570,0,0,1220,30,0,0,0,0,0,0,0,0,0,0,0,0,51290,7240,0,1100,1510,14740,11830,0,50,0,4910,1810,0,1590,0,980,0,70,1440,2070,0,0,0,0,6160,160,1090,0,2910,0,40,110,190,290,130,170,560,20,340,190,20,230,10,0,70,690,280,470,110,220,1450,1480,380,390,0,20,730,10,90,90,30,0,0,30,0,30,1620,1530,640,280,260,790,240,140,1790,350,810,360,30,0,1120,1440,320,8120,14760,490,37590,41740,20510,49820,330,0,0,107030,16620,410,590,17610,0,27510,0,24550,2390,370,53800,90,5420,4300,4710,1090,30,30,20,130,20,0,0,50,0,0,10800,62600,1230,30,4910,1980,2490,130,0,0,10,20,460,0,200,190,0,50,30,40,10,1180,10,30,0,0,0,20,20,0,30,10,20,0,0,10,50,0,0,0,10,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,140,10,0,0,0,140,10,0,0,0,0,0,380,0,20,10,0,10,60,10,0,0,70,200,500,0,10,20,650,0,10,30,0,20,0,30,30,5870,0,70,60,70,510
Jul-19,1007860,171800,0,0,3950,660,600,0,0,120,10,10,520,10,0,0,3520,0,0,600,0,0,1210,50,0,0,0,0,0,0,0,0,0,0,0,0,66450,8790,0,2320,2690,20010,19140,10,150,10,10510,3980,0,3160,0,1010,0,90,2550,2880,0,10,0,10,9430,200,1610,0,5050,0,50,100,180,320,160,180,700,20,400,250,20,270,20,0,110,860,420,640,180,280,1730,1920,400,550,0,60,970,10,80,90,20,0,0,20,0,90,1990,1220,1160,400,720,850,480,470,2850,290,970,2710,40,0,1290,1870,380,9780,18460,670,26110,40840,19120,26700,370,0,0,187820,26730,1010,810,18190,0,45060,0,26950,3050,630,53640,120,6550,4110,6300,810,30,40,10,160,30,10,10,60,0,0,14240,64500,1610,30,6240,2610,2470,190,0,0,0,40,630,10,150,190,10,60,30,50,30,1610,10,30,0,10,0,10,10,0,40,0,20,10,0,10,60,0,0,0,20,10,0,40,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,210,10,0,0,0,160,10,0,10,0,0,0,480,0,0,20,0,10,100,30,0,0,90,180,700,10,10,30,940,0,50,30,0,20,0,40,30,5760,10,70,80,120,590
Aug-19,822420,163220,0,0,3510,460,880,0,0,120,10,10,470,20,0,0,4280,0,0,560,0,0,1160,40,0,0,0,0,0,0,0,0,0,0,0,0,62730,8820,0,1590,1820,18810,17000,10,140,10,5870,2230,0,1600,0,960,0,80,1180,2220,0,10,0,10,11020,350,1770,0,5090,0,90,110,230,370,150,240,820,10,460,190,30,280,30,0,70,900,620,570,100,300,1920,1740,460,550,0,30,890,10,100,130,50,0,0,20,0,100,2120,1220,860,410,500,1120,190,210,1470,420,1020,1500,40,0,1210,1730,330,10400,13960,520,21130,55950,19170,33760,300,0,0,152990,28200,940,1070,21600,0,62740,0,26660,3030,380,53110,130,5510,4790,6370,1190,20,20,20,140,30,10,10,100,0,0,13790,54230,1420,30,5830,2190,2520,150,0,0,0,20,560,0,180,210,10,40,80,30,30,1000,10,30,0,0,0,50,20,0,30,10,20,10,0,10,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,170,10,0,0,0,160,10,0,10,10,0,0,490,0,10,20,0,0,70,30,10,0,180,230,580,10,10,30,710,0,20,20,0,20,0,20,40,5590,0,70,50,110,580
Sep-19,872340,166870,0,0,3610,630,1400,0,0,140,10,10,660,10,0,0,3990,0,0,710,0,0,1300,20,0,0,0,0,0,0,0,0,0,0,0,0,68300,9030,0,1750,2150,17640,18830,10,80,10,7160,3440,0,2170,0,1190,0,80,1380,2550,0,10,0,10,9500,270,1420,0,4820,0,120,160,220,400,120,250,1080,20,560,200,30,330,40,0,80,1060,490,600,120,300,1990,1860,480,550,0,30,790,10,120,100,50,0,0,20,0,40,2120,900,1350,290,110,1140,140,20,810,400,1130,180,40,0,1110,1780,210,8110,12590,530,19550,43100,17890,29900,300,0,0,124330,15880,430,710,16290,0,42680,0,25100,2420,260,49500,110,5440,4320,6060,880,50,30,20,160,20,10,10,60,0,0,13730,51040,1800,20,6220,3150,2530,140,0,0,10,30,490,0,200,220,0,70,60,60,10,1270,0,30,0,10,0,10,30,0,30,0,20,0,0,0,30,0,0,0,0,10,10,50,0,0,0,0,0,0,0,0,0,0,10,20,0,10,0,10,150,10,0,0,0,150,20,0,10,20,0,0,420,0,10,10,0,10,80,40,0,0,80,180,600,0,10,40,880,0,10,30,0,20,0,30,40,6740,10,80,90,120,600
Oct-19,1012410,186490,0,0,3700,700,1090,0,0,140,10,20,540,10,0,0,3940,0,0,660,0,0,1520,40,0,0,0,0,0,0,0,0,0,0,0,0,88430,10330,0,2230,2590,21580,23900,10,90,0,9470,4250,0,3070,0,1620,0,140,1830,3850,0,10,0,0,9530,260,1530,0,5480,0,60,110,260,340,150,160,880,50,600,270,30,380,30,0,110,1290,550,740,200,330,2570,2180,510,570,0,40,870,20,120,70,30,0,0,20,0,30,1980,1180,1440,360,100,940,150,70,930,330,1090,200,50,0,1260,1500,220,10740,13670,430,20430,40420,19900,26660,530,0,0,137800,16950,490,690,17630,0,43000,0,27170,2280,300,47530,120,6610,3850,6090,1010,30,40,40,150,30,0,0,80,0,0,17840,63730,1750,50,6330,2490,2560,180,0,0,10,30,500,0,190,270,10,80,60,50,10,1210,20,20,0,10,0,10,40,0,30,10,20,0,0,10,50,0,0,0,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,180,10,0,0,10,110,0,0,10,0,0,0,390,0,10,10,0,0,80,30,0,0,140,260,590,10,20,30,800,0,20,50,0,20,0,40,20,6360,0,70,70,110,500
