Year,Country,Arrivals
2019,Afghanistan,12750
2019,Albania,830
2019,Algeria,390
2019,Andorra,80
2019,Angola,70
2019,Antigua/Barbuda,70
2019,Argentina,23140
2019,Armenia,420
2019,Australia,9884190
2019,Austria,23960
2019,Azerbaijan,390
2019,Bahamas,190
2019,Bahrain,560
2019,Bangladesh,33960
2019,Barbados,250
2019,Belarus,1250
2019,Belgium,26670
2019,Belize,60
2019,Bhutan,5250
2019,Bolivia,480
2019,Bosnia/Herzegov,1590
2019,Botswana,930
2019,Brazil,77840
2019,Brunei,5900
2019,Bulgaria,3290
2019,Burkina Faso,20
2019,Burundi,350
2019,Cabo Verde,10
2019,Cambodia,20860
2019,Cameroon,210
2019,Canada,220720
2019,Cent Africa Rep,90
2019,Chile,32620
2019,China,1814350
2019,Colombia,33550
2019,Comoros,10
2019,"Congo, Dem Rep",2260
2019,"Congo, Rep",60
2019,Costa Rica,1010
2019,Cote d'Ivoire,130
2019,Croatia,4990
2019,Cuba,360
2019,Cyprus,2030
2019,Czechia,14820
2019,Denmark,35360
2019,Dominica,80
2019,Dominican Rep,320
2019,Ecuador,1940
2019,Egypt,10100
2019,El Salvador,610
2019,Eritrea,1050
2019,Estonia,6200
2019,Eswatini,40
2019,Ethiopia,2220
2019,Fiji,51790
2019,Finland,19050
2019,France,239210
2019,Gambia,30
2019,Georgia,270
2019,Germany,254270
2019,Ghana,1740
2019,Greece,10460
2019,Grenada,70
2019,Guatemala,580
2019,Guinea,70
2019,Guyana,90
2019,Haiti,60
2019,Holy See,30
2019,Honduras,250
2019,Hong Kong,249980
2019,Hungary,9680
2019,Iceland,1430
2019,India,699990
2019,Indonesia,275760
2019,Iran,26230
2019,Iraq,13060
2019,Ireland,118020
2019,Israel,14380
2019,Italy,110450
2019,Jamaica,590
2019,Japan,523240
2019,Jordan,4080
2019,Kazakhstan,1990
2019,Kenya,8640
2019,Kiribati,1840
2019,"Korea, South",355060
2019,Kosovo,250
2019,Kuwait,2880
2019,Kyrgyzstan,320
2019,Laos,3170
2019,Latvia,2110
2019,Lebanon,11470
2019,Lesotho,80
2019,Liberia,140
2019,Libya,160
2019,Liechtenstein,170
2019,Lithuania,4140
2019,Luxembourg,1290
2019,Macau,7000
2019,Madagascar,160
2019,Malawi,390
2019,Malaysia,514140
2019,Maldives,1390
2019,Mali,40
2019,Malta,3070
2019,Marshall Is,110
2019,Mauritius,10990
2019,Mexico,16360
2019,"Micronesia, F S",180
2019,Moldova,320
2019,Monaco,80
2019,Mongolia,8630
2019,Montenegro,340
2019,Morocco,1220
2019,Mozambique,310
2019,Myanmar,15190
2019,Namibia,440
2019,Nauru,5210
2019,Nepal,81290
2019,Netherlands,95620
2019,New Zealand,1939260
2019,Nicaragua,130
2019,Niger,10
2019,Nigeria,5470
2019,North Macedonia,2410
2019,Norway,25310
2019,Oman,2710
2019,PNG,41860
2019,Pakistan,58000
2019,Palau,130
2019,Panama,410
2019,Paraguay,450
2019,Peru,6570
2019,Philippines,232430
2019,Poland,30070
2019,Portugal,18590
2019,Qatar,1130
2019,Romania,7510
2019,Russia,26380
2019,Rwanda,220
2019,Samoa,7780
2019,San Marino,10
2019,Saudi Arabia,19140
2019,Senegal,100
2019,Serbia,4230
2019,Seychelles,490
2019,Sierra Leone,210
2019,Singapore,366250
2019,Slovakia,7030
2019,Slovenia,3320
2019,Solomon Islands,7050
2019,Somalia,360
2019,South Africa,81850
2019,South Sudan,260
2019,Spain,54810
2019,Sri Lanka,79020
2019,St Kitts/Nevis,120
2019,St Lucia,70
2019,St Vinc/Grenad,30
2019,Sudan,1250
2019,Suriname,20
2019,Sweden,48280
2019,Switzerland,47850
2019,Syria,4220
2019,Taiwan,207930
2019,Tajikistan,80
2019,Tanzania,1000
2019,Thailand,114070
2019,Timor-Leste,4780
2019,Togo,10
2019,Tonga,17130
2019,Trinidad/Tobago,680
2019,Tunisia,450
2019,Turkey,11600
2019,Turkmenistan,50
2019,Tuvalu,490
2019,"UK, CIs & IOM",991480
2019,USA,834340
2019,Uganda,940
2019,Ukraine,7010
2019,Unit Arab Emir,6390
2019,Uruguay,2820
2019,Uzbekistan,850
2019,Vanuatu,10510
2019,Venezuela,2700
2019,Vietnam,168840
2019,Yemen,450
2019,Zambia,1390
2019,Zimbabwe,7400
2020,Afghanistan,4470
2020,Albania,200
2020,Algeria,70
2020,Andorra,30
2020,Antigua/Barbuda,10
2020,Argentina,6320
2020,Armenia,70
2020,Australia,2410540
2020,Austria,6210
2020,Azerbaijan,110
2020,Bahamas,30
2020,Bahrain,80
2020,Bangladesh,10340
2020,Barbados,70
2020,Belarus,330
2020,Belgium,6110
2020,Belize,10
2020,Bhutan,2050
2020,Bolivia,110
2020,Bosnia/Herzegov,370
2020,Botswana,280
2020,Brazil,19190
2020,Brunei,1070
2020,Bulgaria,970
2020,Burundi,60
2020,Cambodia,5260
2020,Cameroon,50
2020,Canada,59530
2020,Cent Africa Rep,60
2020,Chile,8810
2020,China,299170
2020,Colombia,9780
2020,"Congo, Dem Rep",350
2020,"Congo, Rep",20
2020,Costa Rica,190
2020,Cote d'Ivoire,20
2020,Croatia,1500
2020,Cuba,100
2020,Cyprus,430
2020,Czechia,4220
2020,Denmark,9930
2020,Dominica,10
2020,Dominican Rep,60
2020,Ecuador,510
2020,Egypt,2950
2020,El Salvador,140
2020,Eritrea,370
2020,Estonia,1570
2020,Eswatini,10
2020,Ethiopia,660
2020,Fiji,10690
2020,Finland,4850
2020,France,57420
2020,Gambia,10
2020,Georgia,110
2020,Germany,64410
2020,Ghana,520
2020,Greece,2370
2020,Grenada,20
2020,Guatemala,130
2020,Guinea,20
2020,Guyana,20
2020,Haiti,10
2020,Honduras,70
2020,Hong Kong,47780
2020,Hungary,2710
2020,Iceland,310
2020,India,190150
2020,Indonesia,53100
2020,Iran,5720
2020,Iraq,3000
2020,Ireland,30480
2020,Israel,3400
2020,Italy,23280
2020,Jamaica,180
2020,Japan,99170
2020,Jordan,1060
2020,Kazakhstan,500
2020,Kenya,2730
2020,Kiribati,330
2020,"Korea, South",70480
2020,Kosovo,50
2020,Kuwait,550
2020,Kyrgyzstan,60
2020,Laos,800
2020,Latvia,700
2020,Lebanon,2420
2020,Lesotho,20
2020,Liberia,60
2020,Libya,40
2020,Liechtenstein,40
2020,Lithuania,1170
2020,Luxembourg,240
2020,Macau,1240
2020,Madagascar,50
