Month,Country,Arrivals
Jan-19,Australia,1152060
Feb-19,Australia,627250
Mar-19,Australia,652850
Apr-19,Australia,795470
May-19,Australia,749420
Jun-19,Australia,739170
Jul-19,Australia,1007860
Aug-19,Australia,822420
Sep-19,Australia,872340
Oct-19,Australia,1012410
Nov-19,Australia,744790
Dec-19,Australia,708150
Jan-20,Australia,1159940
Feb-20,Australia,663830
Mar-20,Australia,475420
Apr-20,Australia,14700
May-20,Australia,10890
Jun-20,Australia,13790
Jul-20,Australia,10330
Aug-20,Australia,8530
Sep-20,Australia,8540
Oct-20,Australia,11770
Nov-20,Australia,15190
Dec-20,Australia,17610
Jan-21,Australia,13990
Feb-21,Australia,11190
Mar-21,Australia,14010
Apr-21,Australia,19350
May-21,Australia,44250
Jun-21,Australia,40260
Jul-21,Australia,33730
Aug-21,Australia,11340
Sep-21,Australia,8260
Oct-21,Australia,6950
Nov-21,Australia,35530
Dec-21,Australia,82590
Jan-22,Australia,139240
Feb-22,Australia,112150
Mar-22,Australia,144120
Apr-22,Australia,253060
May-22,Australia,305910
Jun-22,Australia,351460
Jul-22,Australia,605420
Aug-22,Australia,537100
Sep-22,Australia,564960
Oct-22,Australia,648150
Nov-22,Australia,549250
Dec-22,Australia,519430
Jan-23,Australia,936160
Feb-23,Australia,578070
Mar-23,Australia,575080
Apr-23,Australia,681440
May-23,Australia,643650
Jun-23,Australia,679980
Jul-23,Australia,938730
Aug-23,Australia,774960
Sep-23,Australia,843780
Oct-23,Australia,940730
Nov-23,Australia,726390
Dec-23,Australia,692010
Jan-24,Australia,1173890
Feb-24,Australia,668050
Mar-24,Australia,676790
Apr-24,Australia,833550
May-24,Australia,738240
Jun-24,Australia,762790
Jul-24,Australia,1027680
Jan-19,New Zealand,178510
Feb-19,New Zealand,130700
Mar-19,New Zealand,150250
Apr-19,New Zealand,159280
May-19,New Zealand,152700
Jun-19,New Zealand,144990
Jul-19,New Zealand,171800
Aug-19,New Zealand,163220
Sep-19,New Zealand,166870
Oct-19,New Zealand,186490
Nov-19,New Zealand,157970
Dec-19,New Zealand,176480
Jan-20,New Zealand,179430
Feb-20,New Zealand,130040
Mar-20,New Zealand,83580
Apr-20,New Zealand,1170
May-20,New Zealand,2310
Jun-20,New Zealand,2730
Jul-20,New Zealand,1540
Aug-20,New Zealand,1130
Sep-20,New Zealand,1200
Oct-20,New Zealand,2450
Nov-20,New Zealand,3710
Dec-20,New Zealand,4940
Jan-21,New Zealand,4380
Feb-21,New Zealand,4060
Mar-21,New Zealand,5060
Apr-21,New Zealand,20290
May-21,New Zealand,52260
Jun-21,New Zealand,43750
Jul-21,New Zealand,27050
Aug-21,New Zealand,4080
Sep-21,New Zealand,470
Oct-21,New Zealand,740
Nov-21,New Zealand,3680
Dec-21,New Zealand,8340
Jan-22,New Zealand,9170
Feb-22,New Zealand,10080
Mar-22,New Zealand,29510
Apr-22,New Zealand,67080
May-22,New Zealand,73520
Jun-22,New Zealand,81490
Jul-22,New Zealand,111480
Aug-22,New Zealand,107390
Sep-22,New Zealand,113790
Oct-22,New Zealand,130320
Nov-22,New Zealand,123410
Dec-22,New Zealand,123600
Jan-23,New Zealand,139100
Feb-23,New Zealand,111460
Mar-23,New Zealand,129190
Apr-23,New Zealand,143980
May-23,New Zealand,129080
Jun-23,New Zealand,133660
Jul-23,New Zealand,146940
Aug-23,New Zealand,139560
Sep-23,New Zealand,164430
Oct-23,New Zealand,167620
Nov-23,New Zealand,155570
Dec-23,New Zealand,160090
Jan-24,New Zealand,175330
Feb-24,New Zealand,144840
Mar-24,New Zealand,155930
Apr-24,New Zealand,161860
